Age,ave_rate,death_rate
20,2.06E-06,3.94E-04
21,4.10E-06,4.31E-04
22,1.19E-05,4.25E-04
23,1.59E-05,4.33E-04
24,3.03E-05,4.49E-04
25,4.42E-05,4.71E-04
26,5.48E-05,5.12E-04
27,9.23E-05,5.18E-04
28,0.000118215,5.39E-04
29,0.000150351,5.85E-04
30,0.000185928,6.15E-04
31,0.00024398,6.58E-04
32,0.00028097,6.99E-04
33,0.000302845,7.23E-04
34,0.000391948,7.80E-04
35,0.000456518,8.48E-04
36,0.000558841,9.17E-04
37,0.000632161,9.95E-04
38,0.000702383,1.07E-03
39,0.000825051,1.16E-03
40,0.001106125,1.27E-03
41,0.001171213,1.36E-03
42,0.001295339,1.49E-03
43,0.001391558,1.62E-03
44,0.001583546,1.78E-03
45,0.001763239,1.94E-03
46,0.001867557,2.11E-03
47,0.001987063,2.27E-03
48,0.002145328,2.47E-03
49,0.002218605,2.70E-03
50,0.002295714,2.92E-03
51,0.002345578,3.17E-03
52,0.002299389,3.45E-03
53,0.002266886,3.72E-03
54,0.002365484,4.00E-03
55,0.002365914,4.34E-03
56,0.002489839,4.74E-03
57,0.00266284,5.15E-03
58,0.002772462,5.51E-03
59,0.002951377,6.03E-03
60,0.003173267,6.56E-03
61,0.003275302,7.13E-03
62,0.003448087,7.80E-03
63,0.003653057,8.61E-03
64,0.003746886,9.38E-03
65,0.004272816,1.02E-02
66,0.004184216,1.11E-02
67,0.004323767,1.23E-02
68,0.004477966,1.35E-02
69,0.004568996,1.48E-02
70,0.00457412,1.65E-02
71,0.004658596,1.81E-02
72,0.004708132,2.00E-02
73,0.004817063,2.20E-02
74,0.004786845,2.43E-02
75,0.004832888,2.69E-02
76,0.004688453,2.97E-02
77,0.004744559,3.27E-02
78,0.00456708,3.64E-02
79,0.004622146,4.05E-02
80,0.004400663,4.51E-02
81,0.004275718,5.00E-02
82,0.004279849,5.62E-02
83,0.003996525,6.25E-02
84,0.003930879,7.03E-02
85,0.00299316,0.00E+00
